Species,Common name,Adult weight (g),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Maximum longevity (yrs)
guentheri,Vole,51.6,95,21,6,3.9
ochrogaster,Prairie vole,40,,23,3.8,5.3
pinetorum,Woodland vole,25.5,,21,3,3.8
glareolus,Bank vole,20.8,72,20,4.3,4.9
albigula,White-throated woodrat,209,101,29,2,9.5
floridana,Eastern woodrat,291,,33,3.5,8.6
lepida,Desert woodrat,236,76,33,3,10.5
sumichrasti,Vesper rat,50,,30,2.25,5.7
nuttalli,Golden mouse,22,,30,2.7,8.4
leucogaster,Northern grasshopper mouse,32.5,114,31,4,5.6
torridus,Southern grasshopper mouse,22,41,30,3.7,4.6
californicus,California mouse,42,,30,2,5.5
crinitus,Canyon mouse,16.5,70,24,3,7.7
eremicus,Cactus mouse,25,,26,2.6,7.4
guatemalensis,Guatemalan deer mouse,40,,,1.9,5.7
leucopus,White-footed mouse,23,,26,4.5,7.9
maniculatus,Deer mouse,20.5,,24,5,8.3
polionotus,Oldfield mouse,14,,24,3.8,5.5
truei,Pinyon mouse,25,,26,3.4,5.4
roborovskii,Desert hamster,,,21,6,4.8
sungorus,Dzhungarian hamster,23.4,,20,5.5,3.9
floridanus,Florida mouse,32,,23,2.5,7.4
auritus,Bunny or coney rat,72.2,,,4.5,5.5
hispidus,Hispid cotton rat,185,40,27,5,5.2
nudicaudus,Peters's climbing rat,280,109,40,2.4,5.4
gundi,Gundi,288.8,,74,1.9,5.8
paca,Lowland paca,9000,365,116,1,16.3
taczanowskii,Mountain paca,8999.9,,,1,18.9
azarae,Azara's agouti,2650,,,,11.8
cristata,Crested agouti,2650,,,2,14
fuliginosa,Black agouti,3500,,,,18
leporina,Agouti,3265,,112,1,17.8
mexicana,Mexican agouti,2700,,,,13.1
prymnolopha,Black-rumped agouti,2900,,,1.5,16.3
punctata,Central American agouti,2150,,112,2,13.8
ruatanica,Ruatan agouti,,,,,13.7
acouchy,Red acouchi,775,304,99,2,14.8
branickii,Pacarana,12250,,253,2,12.8
elater,Small five-toed jerboa,58.7,142,,4.5,5.2
euphratica,Euphrates jerboa,232,,,5,4.2
major,Great jerboa,350,,,4,7
sibirica,Mongolian five-toed jerboa,117.5,,,3.4,4.5
jaculus,Lesser Egyptian jerboa,55,137,38,3,7.3
orientalis,Greater Egyptian jerboa,134,,35,2.5,5.5
hudsonius,Meadow jumping mouse,18,61,19,5.5,5.6
gymnurus,Armored rat,504,,60,2.1,7
brevicauda,Andean spiny rat. Short-tailed spiny-rat,285,,,,6.8
semispinosus,Spiny rat,500,146,64,2.4,5.8
apereoides,Brazilian spiny rat,373.5,,94,3.1,7
prehensilis,Prehensile-tailed porcupine,3900,578,203,1,26.6
dorsatus,North American porcupine,8600,1095,210,1,23.4
mexicanus,Mexican hairy dwarf porcupine,2000,,,1,16.7
bursarius,Plains pocket gopher,176.7,91,51,4,12
bottae,Botta's pocket gopher,115.5,319,19,5.5,6.1
nitedula,Forest dormouse,26,,28,3,4.1
melanurus,Asian garden dormouse,122.5,,25,5,6.2
quercinus,Garden dormouse,82.5,365,23,5,5.5
japonicus,Japanese dormouse,27,,30,4,7
glis,Fat dormouse,125,335,25,4,8.7
murinus,Woodland dormouse,24,,24,3,6.9
platyops,Rock dormouse,46.1,,,5.2,7.3
avellanarius,Hazel dormouse,27.3,335,23,4,5.3
fallax,San Diego pocket mouse,18.7,166,25,3,8.3
formosus,Long-tailed pocket mouse,19,365,28,5,7.1
deserti,Desert kangaroo rat,116,,30,3,8.6
heermanni,Heermann's kangaroo rat,65,,31,3.1,8.3
merriami,Merriam's kangaroo rat,42,,28,2.3,9.7
ordii,Ord's kangaroo rat,57,,29,3,9.9
spectabilis,Banner-tailed kangaroo rat,145,,23,2,12.7
amplus,Arizona pocket mouse,11.7,,,,5.9
longimembris,Little pocket mouse,8,,22,5,8.3
parvus,Great Basin pocket mouse,20.1,,24,4.8,5.8
africanus,African brush-tailed porcupine,2750,,106,1.5,22.9
africaeaustralis,Cape porcupine,24000,390,94,2.1,23.1
brachyura,Malayan porcupine,8000,,112,1.5,27.3
cristata,African porcupine,20000,,66,2.3,28
indica,Indian crested porcupine,20000,,113,2,27.1
cahirinus,Spiny mouse,45.2,59,38,3,5.9
cilicicus,Turkish spiny mouse,,,,,4
wilsoni,Wilson's spiny mouse,20,,39,2.3,5.6
argenteus,Small Japanese field mouse,,61,,4.1,5
flavicollis,Yellow-necked mouse,29.4,52,26,5.5,4.5
peninsulae,Korean field mouse,32.9,,,4.7,4.4
speciosus,Large Japanese field mouse,44,,,4.5,5.3
sylvaticus,Long-tailed field mouse,23.4,65,23,5.2,6.3
niloticus,Nile kusu,110,45,22,5,6.7
gliroides,Pencil-tailed tree mouse,29,,20,2.2,3.6
penicillatus,Brush-tailed rabbit rat,144,,35,2,4.5
heaneyi,Panay crateromys,,,,,8.8
auricularis,Cape short-eared gerbil,54.5,,29,3.3,6.1
campestris,North African gerbil,28.4,,,4.3,7.3
afra,Cape gerbil,74.8,115,23,3.9,5.7
validus,Southern savanna gerbil,113,99,25,4.3,5
gerbillus,Lesser Egyptian gerbil,30,,,4.1,5.9
nanus,Baluchistan gerbil,18.5,,22,5,4.5
perpallidus,Pale gerbil,50,,20,4.5,5.5
pyramidum,Greater Egyptian gerbil,37,73,21,3.3,8.2
dolichurus,Woodland mouse,60,,24,3,4.4
chrysogaster,Golden-bellied water rat,850,135,36,3.8,7.3
barbarus,Barbary striped grass mouse,26.2,,,4.6,4.4
striatus,Typical striped grass mouse,42.3,,25,4.54,4.8
conditor,Greater stick-nest rat,332.5,240,38,2.2,5.3
crassus,Sundevall's jird,35,82,22,4,5.6
libycus,Libyan jird,100,,26,5,5.2
meridianus,Mid-day jird,53,,23,5.6,6.8
persicus,Persian jird,100,,26,4.3,6
unguiculatus,Mongolian jird,53.2,36,25,5,6.3
vinogradovi,Vinogradov's jird,150,,22,7,6.7
gouldii,Black-footed tree rat,900,,44,2,7.8
macrurus,Golden-backed tree rat,268.5,,48,2,7.1
namaquensis,Rock mouse,47.6,,22,3.8,4.7
minutus,Old World harvest mouse,6,37,20,5.2,3.8
gleadowi,Sand-colored rat,70,,,2.3,4
minutoides,Mouse,7.2,77,20,4.3,4.3
musculus,House mouse,20.5,42,19,7,4
spicilegus,Mound-building mouse,,,,6.7,3.5
alexis,Spinifex hopping mouse,35,75,35,3.9,6.4
mitchellii,Mitchell's hopping mouse,52,90,37,3.3,5.3
duprasi,Fat-tailed gerbil,40,61,20,4.5,8.3
cumingi,Slender-tailed cloud rat,1750,,,1,13.6
pallidus,Northern Luzon slender-tailed cloud rat,1744,,,,10.7
macrourus,Long-tailed tree mouse,57,,,2.4,3.1
tullbergi,Tullberg's rock rat,30,75,24,3.5,5.2
obesus,Fat sand rat,212,,24,3.5,3.2
australis,Australian native mouse,65,180,31,3.1,7.9
chapmani,Western pebble-mound mouse,12,,,,6.8
fumeus,Smoky mouse,70,,,3.5,6.5
laborifex,Kimberly mouse,12,,,,6.9
shortridgei,Heath mouse,64,335,,3,6
fuscipes,Bush rat,130,90,26,5,5.3
lutreolus,Australian swamp rat,115,,27,5,4.4
norvegicus,Norway rat,300,70,21,9.9,3.8
rattus,Rat,200,112,22,7.3,4.2
pumilio,Four-striped grass mouse,51,64,25,6,4.5
opimus,Great gerbil,285,105,28,5,4.5
calurus,Bushy-tailed jird,65,,,2.9,7.3
indica,Indian gerbil,146.7,91,26,5.4,7
palatilis,Carpentarian rock rat,123,,,,6.2
pedunculatus,Central rock rat,100,,,,7.5
coypus,Nutria,7850,152,131,6,8.5
emini,Giant rat,1300,,,1,7.4
gambianus,Gambian rat,1500,,34,3.5,8.4
melanotis,Gray climbing mouse,7.4,,25,4.6,4.2
mesomelas,Brant's climbing mouse,13,,,4.4,3.3
antimena,Malagasy giant rat,1250,365,120,1,12.6
albicaudatus,White-tailed mouse,106,,38,3,6.3
campestris,Pouched mouse,47.4,,21,6.8,4.5
degus,Degu,235,182,90,6,14
cyanus,Coruro,98,,80,2.4,10.8
capensis,Springhare,3500,,80,1,20
harrisii,Harris's antelope squirrel,126,,30,6.8,10.6
leucurus,White-tailed antelope squirrel,105,365,29,8,11.2
caniceps,Gray-bellied squirrel,257,,,2.2,13.7
erythraeus,Pallas's squirrel,272,,,1.9,17
finlaysonii,Finlayson's squirrel,,,,,12.8
notatus,Plantain squirrel,190,,,3.07,14.8
prevostii,Prevost's squirrel,400,,48,1.8,21.1
lateralis,Golden-mantled ground squirrel,157.6,,30,5.12,10.4
ludovicianus,Black-tailed prairie dog,1125,730,30,4,11
anerythrus,Thomas's rope squirrel,218,,,1.5,10
pyrropus,Fire-footed rope squirrel,271.7,,,1.8,9.5
sabrinus,Northern flying squirrel,149,,40,3,14.2
volans,Southern flying squirrel,65.4,,40,4,19
rufobrachium,Red-legged sun squirrel,326.5,,,2.7,8.7
tridecemlineatus,Thirteen-lined ground squirrel,172.7,225,28,7,7.9
caligata,Hoary marmot,4300,,29,4.2,12.1
flaviventris,Yellow-bellied marmot,3500,730,30,4,21.2
marmota,Alpine marmot,3500,730,35,4,17.4
monax,Woodchuck,4000,548,32,4.5,14
vancouverensis,Vancouver marmot,4750,,30,3.3,12.1
variegatus,Rock squirrel,663,,30,4.3,9.8
alborufus,Red and white giant flying squirrel,1700,,,,21.4
leucogenys,Japanese giant flying squirrel,1650,,,,19.2
franklinii,Franklin's ground squirrel,459,327,28,7.5,7.2
volans,Siberian flying squirrel,130,,30,2.6,11.4
bicolor,Black giant squirrel,2000,,32,1.4,19
indica,Indian giant squirrel,2000,,84,1,20
aureogaster,Red-bellied squirrel,600,,,2,11.5
carolinensis,Eastern gray squirrel,533,401,44,4,23.6
granatensis,Red-tailed squirrel,374,,,1.93,11.5
niger,Eastern fox squirrel,800,353,44,3,16
variegatoides,Variegated squirrel,485,,,5,15.1
vulgaris,Eurasian red squirrel,600,320,38,5,14.8
citellus,European ground squirrel,217,314,27,6,6.7
pygmaeus,Little ground squirrel,136,,27,7.1,7.1
hippurus,Horse-tailed squirrel,312.5,,,,14
lowii,Low's squirrel,67,,,2.5,11.1
tenuis,Slender squirrel,75,,,3,10
dorsalis,Cliff chipmunk,62.8,,30,5.2,12.6
minimus,Least chipmunk,44.1,,30,4.9,10
sibiricus,Siberian chipmunk,85,350,35,4.8,9.6
striatus,Eastern chipmunk,96,228,31,5,9.5
townsendii,Townsend's chipmunk,75,,28,4.5,9.3
hudsonicus,Red squirrel,200,,37,4.2,9.8
mohavensis,Mohave ground squirrel,150,,24,6,7.8
tereticaudus,Round-tailed ground squirrel,163.3,325,28,5.4,8.9
erythropus,Striped ground squirrel,600,365,71,3.5,10.3
inauris,South African ground squirrel,588,365,45,2.2,11.5
badius,Lesser bamboo rat,650,,42,1.8,4.8
ehrenbergi,Palestine mole rat,160,,,3,20.2
swinderianus,Greater cane rat,6600,365,155,4,5.4
belangeri,Northern tree shrew,200,,46,2,11.1
glis,Common tree shrew,200,90,46,2,12.4
minor,Pygmy tree shrew,58.6,,,2,12.2
tana,Large tree shrew,197.8,,,2.2,11.6
everetti,Mindanao tree shrew,350,,55,2,11.5
dugon,Dugong,360000,3470,374,1,73
inunguis,Amazonian manatee,480000,1096,328,1,40
manatus,West Indian manatee,322000,913,335,1,69
paradoxus,Hispaniolan solenodon,1000,,50,2,12.1
brevicauda,Northern short-tailed shrew,21.6,65,17,6,2.2
hylophaga,Elliot's short-tailed shrew,14.5,42,23,6.5,2.8
flavescens,Greater red musk shrew,45,,25,3.3,2.2
leucodon,Bicolored shrew,11,95,30,5,2.9
russula,White-toothed shrew,11.6,75,29,4,4
suaveolens,Lesser shrew,7.7,365,27,4,2.8
parva,Least shrew,4.5,43,21,4.5,3.5
varius,Forest shrew,17.5,,,3,2.1
fodiens,Eurasian water shrew,15,106,20,5,3.1
araneus,Eurasian shrew,9,335,21,6,3.2
caecutiens,Laxmann's shrew,5.4,,,6.4,3
etruscus,White-toothed pygmy shrew,2.1,365,27,4,3.2
murinus,Asian house shrew,45.9,36,30,3,3.2
cristata,Star-nosed mole,55.3,304,40,4.4,2.5
wogura,Japanese mole,97,,40,3.8,3.2
afer,Aardvark,60000,730,225,1,29.8
mississippiensis,American alligator,150000,4380,,,77
sinensis,Chinese alligator,,,,,65
crocodilus,Spectacled caiman,,,,,40
latirostris,Broad-snouted caiman,,,,,58
niger,Black caiman,,,,,40
palpebrosus,Dwarf caiman,,,,,24.1
trigonatus,Smooth-fronted caiman,,,,,40
acutus,American crocodile,,,,,47
intermedius,Orinoco crocodile,,,,,41
johnstoni,Johnson's crocodile,,,,,55
moreletii,Morelet's crocodile,,,,,25.4
niloticus,Nile crocodile,,,,,56
novaeguineae,New Guinea crocodile,,,,,51
palustris,Mugger or marsh crocodile,,,,,44
porosus,Saltwater crocodile,,,,,57
rhombifer,Cuban crocodile,,,,,48
siamensis,Siamese crocodile,,,,,49
cataphractus,African slender-snouted crocodile,,,,,56.1
tetraspis,West African dwarf crocodile,40000,1825,,10,70
gangeticus,Gharial,,,,,59
schlegelii,False gharial,,,,,24.7
punctatus,Tuatara,430,4380,,,90
arafurae,Arafuran file snake,,,,,8.8
javanicus,Javan wart snake,,,,,5.8
atricollis,Plains agama,,,,,6
impalearis,Bibron's agama,,,,,6
versicolor,Indian changeable lizard,,,,,5
kingii,Frilled lizard,,,,,9.9
amboinensis,Sailfin lizard,,,,,24.4
pustulatus,Philippine sailfin lizard,,,,,15.2
stellio,Levant starred lizard,,,,,6
belliana,Butterfly lizard,,,,,5.6
cocincinus,Water dragon,,,,,15.3
lesueurii,Eastern water dragon,,,,,18.9
barbata,Eastern bearded dragon,,,,,9.9
vitticeps,Central bearded dragon,500,,,,12
acanthinura,North African spiny dabb lizard,,,,,11.4
aegyptia,Egyptian spiny-tailed lizard,,,,,15.3
dispar,Sudan mastigure,,,,,17
alba,Red worm lizard,,,,,15.1
cinereus,Spanish grey amphisbaena,,,,,16
fragilis,Slow worm,,,,,54
monotropis,Galliwasp,,,,,12.3
kingii,Madrean alligator lizard,,,,,12.3
multicarinata,Southern alligator lizard,31.5,,,,9.8
ventralis,Eastern glass lizard,,,,,14.8
apodus,Armored glass lizard,450,730,42,8,54
bibronii,Bibron's mole viper,,,,,23.9
constrictor,Boa constrictor,3532,1095,125,35,40.4
angulifer,Cuban boa,,,,,22.6
chrysogaster,Turks and Caicos boa,,,,,14.2
exsul,Abaco Island boa,,,,,21.7
fordii,Haitian ground boa,,,,,24.4
inornatus,Puerto rican boa,,,,,23.9
striatus,Haitian boa,,,,,22.1
subflavus,Jamaica boa,,,,,24.3
annulatus,Annulated boa,,,,,15.3
caninus,Emerald tree-boa,,,,,18.6
hortulanus,Amazonian tree boa,,,,,15
cenchria,Rainbow boa,,,,,31
deschauenseei,Dark-spotted anaconda,,,,,23.2
murinus,Green anaconda,,,,,31.8
notaeus,Paraguayan anaconda,,,,,23.6
dussumieri,Round Island boas,,,,,17.8
aspera,New Guinea boa,,,,,9.9
bibroni,Pacific tree boa,,,,,16.9
carinata,Pacific ground boa,,,,,16.6
milii,Thick-tailed gecko,,,,,12
parsonii,Parson's chameleon,,,,,9
chamaeleon,Common chameleon,,,,,3.6
dilepis,Flapneck chameleon,,,,,4
labordi,Labord's chameleon,,60,260,11,0.4
pardalis,Panther chameleon,,,,,5.2
jacksonii,Jackson's chameleon,,,,,8.2
bottae,Rubber boa,,,,,26.5
trivirgata,Rosy boa,450,,130,7,31
continentalis,Round-spot banana boa,,,,,17.7
panamensis,Panama wood snake,,,,,14.2
elegans,Glossy snake,,,,,19.1
subocularis,Trans-pecos rat snake,,730,,5,23.8
blandingii,Blanding's cat snake,,,,,12.6
cynodon,Dog-tooth cat snake,,,,,9.6
dendrophila,Mangrove snake,,,,,17
irregularis,Brown tree snake,,,,,13.1
trigonata,Common catsnake/indian gamma snake,,,,,8.2
coccinea,Scarlet snake,,,,,10.4
stramineus,Banded sand snake,,,,,4
clelia,Mussarana,,,,,11.5
kirtlandii,Kirtland's snake,,,,,8.4
constrictor,Northern black racer,,,,,10
ravergieri,Palaearctic tail-lined snake,,,,,13.8
medici,East African egg-eating snake,,,,,8.6
scabra,African egg-eating snake,,,,,22.1
rufozonatum,Red barded snake,,,,,13.7
corais,Indigo snake,,,,6,25.9
bairdi,Baird's rat snake,,,,,16.3
climacophora,Japanese rat snake,,,,,13.1
flavirufa,Yellow-red/tropical rat snake,,,,,16.3
guttata,Corn snake,900,600,,12,32.3
helena,Trinket snake,,730,,,15
moellendorffi,Red-headed rat snake,,,,,21.1
obsoleta,Black rat snake,,1460,,,33.9
quadrivirgata,Japanese four-lined rat snake,,,,,16.8
schrenckii,Russian ratsnake,,,,,13.7
situla,European leopard snake,,,,,23
taeniura,Taipan beauty snake,,,,,11.6
vulpina,Eastern fox snake,,,,,17
abacura,Western mud snake,,,,,19
oxycephalum,Red-tailed rat snake,,,,,15.1
nasicus,Mexican hognose snake,,730,56,13,19.8
platirhinos,Eastern hognose snake,,730,,,9.1
gigas,False water snake,,,,,16.9
torquata,Night snake,,,,,12.2
alterna,Gray-banded kingsnake,,,,,19.7
calligaster,Prairie kingsnake,,1095,,,23.8
getula,Common kingsnake,,1095,,,33.3
mexicana,Greer's kingsnake,,,,,15.6
pyromelana,Sonoran mountain kingsnake,,,,,22.4
triangulum,Milk snake,,,,,22.6
zonata,California mountain kingsnake,,,,,28.8
fuliginosus,African house snake,,182,,,9
madagascariensis,Madagascar giant hognose snake,,,,,27.2
mexicanus,Parrot snake,,,,,7.7
cucullatus,False smooth snake,,,,,5.9
flagellum,Coachwhip,,,,,20.2
capensis,Lapi file snake,,,,,10.9
natrix,Grass snake,96.25,1460,,,20
erythrogaster,Plain-bellied water snake,,,,,14.8
sipedon,Northern water snake,,730,,,9.6
taxispilota,Brown water snake,,,,,6.1
aestivus,Rough greensnake,,730,,,7.2
vernalis,Smooth green snake,,,,,6.1
aeneus,Brown vine snake,,,,,15.2
catenifer,Gopher snake,,,,,33.8
melanoleucus,Bull snake,,,,,22.4
subtaeniatus,Stripe-belly sand racer,,,,,5.8
cana,Mole snake,,,,,8.3
mucosus,Indian rat snake,,,,,11.3
septemvittata,Queen snake,,1095,,,19.3
oxyrhynchus,Rufous beaked snake,,,,,13.3
lecontei,Western long-nosed snake,,,,,19.8
hexalepis,Western patch-nosed snake,,,,,14.3
triaspis,Green rat snake,,,,,19.8
diadema,Diademed snake,,547,,,17
pullatus,Tropical rat snake,,,,,17.5
dekayi,Brown snake,,730,,,7
occipitomaculata,Redbelly snake,,730,,,4.6
semiannulatus,Eastern tiger snake,,,,,7.6
butleri,Butler's garter snake,,,,12,14
couchii,Western aquatic garter snake,,,,,7.7
cyrtopsis,Eastern blackneck garter snake,,,,,10.8
elegans,Western terrestrial garter snake,,,,,17.8
marcianus,Checkered garter snake,,547,,,7
ordinoides,Northwestern garter snake,,,,,15.8
radix,Plains garter snake,,,,,8.4
sauritus,Eastern ribbon snake,,730,,14,10.6
sirtalis,Common garter snake,150,730,100,,14
biscutatus,Western lyresnake,,,,,11.8
oxyrhynchus,Pointed snake,,,,,18.9
striatula,Rough earth snake,,547,,,7.2
valeriae,Smooth earth snake,,,,,9.5
cataphractus,Armadillo girdled lizard,,,,,20.2
cordylus,Rough-scaled girdled lizard,,,,,15.6
giganteus,Giant spinytail lizard,,,,,24.9
warreni,Warren's spinytail lizard,,,,,19.8
major,Rough-scaled plated lizard,,,,,24
validus,Giant plated lizard,,,,,17.2
guttatus,Lesser flat lizard,,,,,15.6
imperator,Emperor flat lizard,,,,,14
plumifrons,Green basilisk,,,,,13
vittatus,Brown basilisk,,,,,9.1
cristatus,Smooth helmeted iguana,,,,,7.1
longipes,Eastern casquehead iguana,,,,,15.4
bimaculatus,Panther anole,,,,,7
carolinensis,Green anole,,,,,7.2
cuvieri,Puerto Rican giant anole,,,,,9.2
equestris,Knight anole,,,,,16.5
roquet,Anole,,,,,6.7
duvaucelii,Giant gecko,,,,,25
elegans,Auckland green gecko,,,,,20
gemmeus,Jewelled gecko,,,,,16
grayii,Northland green gecko,,,,,16
rudis,Rough scale gecko,,,,,13
marmorata,Marbled velvet gecko,,,,,21.2
leachianus,New Caledonia giant gecko,,,,,8.5
antarcticus,Common death adder,,,,,9.3
lubricus,Coral snake,,,,,9
scutatus,Shieldnose cobra,,,,,13.5
caeruleus,Indian krait,,,,,17.4
fasciatus,Red-headed krait,,,,,13.2
multicinctus,Many-banded krait,,,,,13.7
angusticeps,Common mamba,,,,,18.8
jamesoni,Jameson's mamba,,,,,13.1
polylepis,Black mamba,,,,,26.2
viridis,Green mamba,,,,,18.7
sundevallii,Sundevall's garter sanke,,,,,11.6
haemachatus,Ringneck spitting cobra,,,,,13
euryxanthus,Western coral snake,,,,,17.6
fulvius,Eastern coral snake,,,,,19
atra,Indian/golden spitting cobra,,,,,11.7
haje,Egyptian cobra,,,,,22.1
kaouthia,Indian/monocled cobra,,,,,25.4
melanoleuca,Black and white-lipped cobra,,,,,29.1
mossambica,Mozambique spitting cobra,,,,,16.7
naja,Indian cobra,,,,,32.3
nigricollis,Blackneck spitting cobra,,,,,23.2
nivea,Cape cobra,,,,,26
pallida,Red spitting cobra,,,,,20.2
samarensis,Indian/southeastern philippine cobra,,,,,11.4
sputatrix,Indian/Indochinese spitting cobra,,,,,13.5
scutatus,Mainland tigersnake,,,,,14.1
hannah,King cobra,,,,,22.5
scutellatus,Taipan,,,,,15.6
australis,King grown/brown snake,,,,,11.1
porphyriacus,Australian purplish death adder,,,,,11.6
colubrinus,Kenya sand-boa,,,,,20.7
conicus,Rough-scaled sand-boa,,,,,28.2
jaculus,Caucasian sand-boa,,,,,24.7
johnii,John's Indian sand-boa,,,,,24.4
tataricus,Tartar sand-boa,,,,,24
elegans,Mexican banded gecko,,,,,11
variegatus,Western banded gecko,,,,,15.2
macularius,Leopard gecko,,400,55,2,28.5
caudicinctus,African fat-tailed gecko,,,,,16.2
angulifer,Namib sand gecko,,,,,10.8
bibronii,Bibron's gecko,,,,,6.1
marmoratus,Marbled gecko,,,,,12.8
pacificus,Pacific sticky-toed gecko,,,,,13
oceanica,Oceanic dtella,,,,,10.5
gecko,Tokay gecko,,,,,23.5
turcicus,Mediterranean house gecko,,,,,8.4
binoei,Prickly gecko,,,,,13.6
granulatus,Forest gecko,,,,,21
astriata,Seychelles small day gecko,,,,,7.4
cepediana,Blue-tailed day gecko,,,,,9.3
guentheri,Round island day gecko,,,,,17.8
guimbeaui,Orange-spotted day gecko,,,,,7.1
laticauda,Broad-tailed day gecko,,,,,8.7
lineata,Striped day gecko,,,,,10
madagascariensis,Madagascar day gecko,,,,,13.6
standingi,Standing's day gecko,,,,,9.6
sundbergi,Seychelles giant day gecko,,,,,15.9
maculatus,Gray gecko,,,,,37
horridum,Beaded lizard,,,,,34.4
suspectum,Gila monster,,,,,28.9
tentaculatum,East Indian tentacled snake,,,,,13.6
chinensis,Chinese water snake,,,,,4.2
cristatus,Marine iguana,,,,,6.4
fasciatus,Fiji banded iguana,,,,,5.9
pallidus,Santa Fe land iguana,,,,,17.1
bakeri,Baker's spinytail iguana,,,,,13.8
hemilopha,Cape spinytail iguana,,,,,9.6
palearis,Honduran dwarf spiny-tailed iguana,,,,,10.2
pectinata,Western spiny-tailed iguana,,,,,8.2
similis,Black iguana,,,,,22.4
cornuta,Rhinoceros iguana,,,,,22.9
cychlura,Andros island iguana,,,,,23.4
nubila,Cayman rock iguana,,,,,47.6
dorsalis,Desert iguana,69.5,,,,14.6
iguana,Common green iguana,,1640,,,19.8
ater,Northern chuckwalla,,,,,9.3
hispidus,Spiny chuckwalla,,,,,17.2
varius,Piebald chuckwalla,,,,,11.3
magister,Desert spiny lizard,,,,,5.9
poinsettii,Crevice spiny lizard,,,,,8
serrifer,Blue spiny lizard,,,,,6.7
galloti,Gallot's Canary Island lizard,,,,,5.6
simonyi,Simony's Canary Island lizard,,,,,5.4
viridis,European green lizard,21.5,,,,10
vivipara,Viviparous lizard,,365,,,11
muralis,Common wall lizard,,,,,10
dugesii,Madeira wall lizard,,,,,4.8
lepidus,Jeweled lizard,,912,,,17
carinatus,Northern curly-tailed lizard,,,,,10.8
bicolor,Mexican burrowing python,,,,,32.8
cuvieri,Cuvier's Madagascar swift,,,,,21.2
cyclurus,Merrem's Madagascar swift,,,,,9.3
notata,Colorado desert fringe-toed lizard,,,,,8.1
hasselquistii,Fan-footed gecko,,,,,10.9
annularis,Ringed wall gecko,,,,,11.8
mauritanica,Common wall gecko,,,,,14
childreni,Children's python,,,,,25.7
melanocephalus,Black-headed python,,,,,22.6
boa,Bismarck ringed python,,,,,22.2
albertisii,D'albert's python,,,,,18
fuscus,Brown water python,,,,,26.8
mackloti,Macklot's python,,,,,17.4
amethistina,Scrub python,,,,,13.8
boeleni,Boelen's python,,,,,20.1
spilota,Carpet python,,,,,19.6
viridis,Green tree python,,,,,20.6
curtus,Short-tailed python,,,,,27.8
molurus,Indian python,12370,1095,100,40,34.2
regius,Ball python,,1825,77,7,47.5
reticulatus,Reticulated python,32000,,,,29.4
sebae,African python,,,,,27.3
timoriensis,Timor python,,,,,20.5
dumerili,Dumeril's ground boa,,,,,26
madagascariensis,Madagascar boa,,,,,28.4
madagascariensis,Madagascar tree boa,,,,,21.8
ocellatus,Palaearctic eyed skink,,,,,14
zebrata,Solomon Island skink,,,,,24.3
macgregori,Mcgregor's skink,,,,,20
cunninghami,Cunningham's skink,,,,,26.5
hosmeri,Hosmer's skink,,,,,24.5
luctuosa,Mourning skink,,,,,18.2
major,Land mullet,,,,,10.8
stokesii,Gidgee skink,,,,,18.2
algeriensis,Algerian skink,,,,,22.8
laticeps,Broadhead skink,,,,,7.7
obsoletus,Great Plains skink,30,,,,7.3
gerrardii,Pink-tongued skink,,,,,12.9
otagense,Otago skink,,,,,44
gigas,Great moluccan skink,,,,,17.3
nigrolutea,Australian black and yellow skink,,,,,11.5
scincoides,Australian blue-tongued lizard,493,,,10,26.6
rugosus,Shingleback skink,,,,,20.9
albogularis,Yellowhead gecko,,,,,5.6
scincus,Common wonder gecko,,,,,12.6
ameiva,Giant ameiva,,,,,4.6
sexlineatus,Six-lined racerunner,,,,,6
tigris,Western whiptail,18,,,,7.8
guianensis,Guyana caiman lizard,,,,,9.3
rufescens,Red tegu,,,,,10.8
teguixin,Columbian tegu,,,,,16.1
canus,Dwarf boa,,,,,16.1
caymanensis,Cayman islands dwarf boa,,,,,25.9
haetianus,Haitian dwarf boa,,,,,15.3
bengalensis,Bengal monitor,,,,,11.2
dumerilii,Dumeril's monitor,,,,,10.7
exanthematicus,Bosc's monitor and Savannah monitor,35500,,,,12.7
giganteus,Perentie,,,,,19.7
gouldii,Sand monitor,,,,,18.3
griseus,Desert monitor,,,,,17
indicus,Indian monitor lizard and Indian monitor,,,,,17.4
komodoensis,Komodo dragon,87000,1825,49,22,62
mertensi,Merten's water monitor,,,,,20.3
niloticus,Nile monitor,,,,,14.6
olivaceus,Gray's monitor lizard,,,,,15.2
prasinus,New Guinea green tree monitor,,,,,14.2
salvator,Common water monitor,,,,,15.7
timorensis,Spotted tree monitor,,,,,14.9
varius,Lace monitor,,,,,14.7
bilineatus,Cantil,,,,,24.3
contortrix,Northern copperhead,,730,,6,29.8
piscivorus,Water moccasin,,,,8,24.5
nummifer,Jumping pit viper,,,,,19
picadoi,Picado's pit viper,,,,,13
arietans,Puff adder,,,,,15.8
gabonica,Gaboon viper,,,,,18
nasicornis,Rhinoceros viper,,,,,9.4
aurifer,Yellos-spotted palm pit viper,,,,,13.7
lateralis,Side-striped palm pit viper,,,,,12.5
rowleyi,Rowley's palm pit viper,,,,,12.8
schlegelii,Eyelash palm pit viper,,,,,19.5
alternatus,Urutu,,,,,15.2
